,Chromosome,Start_bin_no,End_bin_no
0,chr1,1,21
1,chr1,22,37
2,chr1,38,45
3,chr1,46,73
4,chr1,74,227
5,chr1,228,291
6,chr1,292,317
7,chr1,318,346
8,chr1,347,351
9,chr1,352,399
10,chr1,400,420
11,chr10,1,15
12,chr10,16,72
13,chr10,73,184
14,chr10,185,186
15,chr10,187,192
16,chr10,193,195
17,chr10,196,219
18,chr10,220,227
19,chr10,228,235
20,chr10,236,237
21,chr10,238,241
22,chr11,1,24
23,chr11,25,55
24,chr11,56,63
25,chr11,64,76
26,chr11,77,86
27,chr11,87,93
28,chr11,94,94
29,chr11,95,135
30,chr11,136,144
31,chr11,145,145
32,chr11,146,248
33,chr12,1,9
34,chr12,10,14
35,chr12,15,17
36,chr12,18,21
37,chr12,22,56
38,chr12,57,59
39,chr12,60,64
40,chr12,65,90
41,chr12,91,101
42,chr12,102,195
43,chr12,196,252
44,chr13,1,3
45,chr13,4,20
46,chr13,21,22
47,chr13,23,70
48,chr13,71,87
49,chr13,88,95
50,chr13,96,109
51,chr13,110,155
52,chr13,156,162
53,chr13,163,178
54,chr13,179,187
55,chr14,1,95
56,chr14,96,97
57,chr14,98,118
58,chr14,119,129
59,chr14,130,135
60,chr14,136,150
61,chr14,151,158
62,chr14,159,167
63,chr14,168,168
64,chr14,169,170
65,chr14,171,172
66,chr15,1,6
67,chr15,7,13
68,chr15,14,23
69,chr15,24,30
70,chr15,31,62
71,chr15,63,70
72,chr15,71,91
73,chr15,92,122
74,chr15,123,124
75,chr15,125,136
76,chr15,137,140
77,chr16,1,0
78,chr16,1,1
79,chr16,2,9
80,chr16,10,21
81,chr16,22,46
82,chr16,47,48
83,chr16,49,73
84,chr16,74,88
85,chr16,89,129
86,chr16,130,130
87,chr16,131,132
88,chr17,1,31
89,chr17,32,93
90,chr17,94,98
91,chr17,99,100
92,chr17,101,122
93,chr17,123,128
94,chr17,129,131
95,chr17,132,132
96,chr17,133,133
97,chr17,134,135
98,chr17,136,136
99,chr18,1,21
100,chr18,22,26
101,chr18,27,34
102,chr18,35,35
103,chr18,36,94
104,chr18,95,99
105,chr18,100,102
106,chr18,103,131
107,chr18,132,133
108,chr18,134,135
109,chr18,136,145
110,chr19,1,1
111,chr19,2,9
112,chr19,10,28
113,chr19,29,31
114,chr19,32,32
115,chr19,33,35
116,chr19,36,37
117,chr19,38,42
118,chr19,43,67
119,chr19,68,84
120,chr19,85,99
121,chr2,1,25
122,chr2,26,168
123,chr2,169,175
124,chr2,176,209
125,chr2,210,245
126,chr2,246,287
127,chr2,288,342
128,chr2,343,366
129,chr2,367,398
130,chr2,399,434
131,chr2,435,452
132,chr20,1,0
133,chr20,1,11
134,chr20,12,37
135,chr20,38,39
136,chr20,40,42
137,chr20,43,55
138,chr20,56,56
139,chr20,57,81
140,chr20,82,111
141,chr20,112,115
142,chr20,116,116
143,chr21,1,3
144,chr21,4,6
145,chr21,7,7
146,chr21,8,10
147,chr21,11,12
148,chr21,13,23
149,chr21,24,28
150,chr21,29,40
151,chr21,41,41
152,chr21,42,62
153,chr21,63,63
154,chr22,1,14
155,chr22,15,19
156,chr22,20,21
157,chr22,22,22
158,chr22,23,24
159,chr22,25,25
160,chr22,26,33
161,chr22,34,36
162,chr22,37,50
163,chr22,51,54
164,chr22,55,59
165,chr3,1,73
166,chr3,74,118
167,chr3,119,143
168,chr3,144,174
169,chr3,175,184
170,chr3,185,187
171,chr3,188,231
172,chr3,232,236
173,chr3,237,249
174,chr3,250,325
175,chr3,326,336
176,chr4,1,6
177,chr4,7,15
178,chr4,16,48
179,chr4,49,70
180,chr4,71,80
181,chr4,81,93
182,chr4,94,110
183,chr4,111,277
184,chr4,278,292
185,chr4,293,351
186,chr4,352,362
187,chr5,1,85
188,chr5,86,98
189,chr5,99,139
190,chr5,140,151
191,chr5,152,162
192,chr5,163,172
193,chr5,173,186
194,chr5,187,193
195,chr5,194,194
196,chr5,195,326
197,chr5,327,338
198,chr6,1,1
199,chr6,2,60
200,chr6,61,101
201,chr6,102,113
202,chr6,114,154
203,chr6,155,207
204,chr6,208,243
205,chr6,244,252
206,chr6,253,295
207,chr6,296,318
208,chr6,319,328
209,chr7,1,12
210,chr7,13,69
211,chr7,70,106
212,chr7,107,107
213,chr7,108,150
214,chr7,151,165
215,chr7,166,181
216,chr7,182,200
217,chr7,201,205
218,chr7,206,266
219,chr7,267,275
220,chr8,1,25
221,chr8,26,34
222,chr8,35,38
223,chr8,39,53
224,chr8,54,80
225,chr8,81,91
226,chr8,92,128
227,chr8,129,170
228,chr8,171,209
229,chr8,210,218
230,chr8,219,230
231,chr9,1,4
232,chr9,5,11
233,chr9,12,12
234,chr9,13,20
235,chr9,21,22
236,chr9,23,24
237,chr9,25,27
238,chr9,28,28
239,chr9,29,32
240,chr9,33,60
241,chr9,61,199
