,StartBin,EndBin
"('chr1',)",0.0,5.0
"('chr1',)",6.0,26.0
"('chr1',)",27.0,87.0
"('chr1',)",88.0,170.0
"('chr1',)",171.0,219.0
"('chr1',)",220.0,243.0
"('chr1',)",244.0,343.0
"('chr1',)",344.0,375.0
"('chr1',)",376.0,382.0
"('chr1',)",383.0,393.0
"('chr1',)",394.0,411.0
"('chr2',)",0.0,48.0
"('chr2',)",49.0,176.0
"('chr2',)",177.0,191.0
"('chr2',)",192.0,249.0
"('chr2',)",250.0,272.0
"('chr2',)",273.0,329.0
"('chr2',)",330.0,367.0
"('chr2',)",368.0,411.0
"('chr2',)",412.0,427.0
"('chr2',)",428.0,444.0
"('chr2',)",445.0,452.0
"('chr3',)",0.0,81.0
"('chr3',)",82.0,106.0
"('chr3',)",107.0,149.0
"('chr3',)",150.0,177.0
"('chr3',)",178.0,216.0
"('chr3',)",217.0,239.0
"('chr3',)",240.0,253.0
"('chr3',)",254.0,260.0
"('chr3',)",261.0,339.0
"('chr3',)",340.0,368.0
"('chr3',)",369.0,382.0
"('chr4',)",0.0,16.0
"('chr4',)",17.0,21.0
"('chr4',)",22.0,62.0
"('chr4',)",63.0,90.0
"('chr4',)",91.0,94.0
"('chr4',)",95.0,111.0
"('chr4',)",112.0,131.0
"('chr4',)",132.0,147.0
"('chr4',)",148.0,168.0
"('chr4',)",169.0,241.0
"('chr4',)",242.0,362.0
"('chr5',)",0.0,2.0
"('chr5',)",3.0,33.0
"('chr5',)",34.0,116.0
"('chr5',)",117.0,131.0
"('chr5',)",132.0,153.0
"('chr5',)",154.0,169.0
"('chr5',)",170.0,184.0
"('chr5',)",185.0,199.0
"('chr5',)",200.0,235.0
"('chr5',)",236.0,330.0
"('chr5',)",331.0,338.0
"('chr6',)",0.0,44.0
"('chr6',)",45.0,51.0
"('chr6',)",52.0,125.0
"('chr6',)",126.0,145.0
"('chr6',)",146.0,186.0
"('chr6',)",187.0,193.0
"('chr6',)",194.0,233.0
"('chr6',)",234.0,268.0
"('chr6',)",269.0,293.0
"('chr6',)",294.0,309.0
"('chr6',)",310.0,328.0
"('chr7',)",0.0,12.0
"('chr7',)",13.0,32.0
"('chr7',)",33.0,69.0
"('chr7',)",70.0,104.0
"('chr7',)",105.0,106.0
"('chr7',)",107.0,108.0
"('chr7',)",109.0,164.0
"('chr7',)",165.0,169.0
"('chr7',)",170.0,194.0
"('chr7',)",195.0,241.0
"('chr7',)",242.0,275.0
"('chr8',)",0.0,2.0
"('chr8',)",3.0,75.0
"('chr8',)",76.0,81.0
"('chr8',)",82.0,101.0
"('chr8',)",102.0,128.0
"('chr8',)",129.0,151.0
"('chr8',)",152.0,172.0
"('chr8',)",173.0,189.0
"('chr8',)",190.0,231.0
"('chr8',)",232.0,262.0
"('chr8',)",263.0,270.0
"('chr9',)",0.0,19.0
"('chr9',)",20.0,35.0
"('chr9',)",36.0,47.0
"('chr9',)",48.0,61.0
"('chr9',)",62.0,66.0
"('chr9',)",67.0,103.0
