"","seqnames","start","end","width","strand","gc","mapp"
"1","chr1",1000001,1500000,500000,"*",59.83,0.943637793549257
"2","chr1",1500001,2000000,500000,"*",53.95,0.919810984287768
"3","chr1",2000001,2500000,500000,"*",59.45,0.980288665636679
"4","chr1",2500001,3000000,500000,"*",51.18,0.916839813059505
"5","chr1",3000001,3500000,500000,"*",58.46,0.988965548195606
"6","chr1",3500001,4000000,500000,"*",38.37,0.983655041190996
"7","chr1",4000001,4500000,500000,"*",48.26,0.976331851432656
"8","chr1",4500001,5000000,500000,"*",48.18,0.987193070951074
"9","chr1",5000001,5500000,500000,"*",44.74,0.980949361271643
"10","chr1",5500001,6000000,500000,"*",49.11,0.984808637847353
"11","chr1",6000001,6500000,500000,"*",54.51,0.983107658544419
"12","chr1",6500001,7000000,500000,"*",49,0.983616561180811
"13","chr1",7000001,7500000,500000,"*",47.07,0.980420301235668
"14","chr1",7500001,8000000,500000,"*",48.82,0.98387271540495
"15","chr1",8000001,8500000,500000,"*",46.27,0.984986252703429
"16","chr1",8500001,9000000,500000,"*",42.6,0.976265796531874
"17","chr1",9000001,9500000,500000,"*",50.67,0.988605724113198
"18","chr1",9500001,10000000,500000,"*",49.72,0.980819623655914
"19","chr1",10000001,10500000,500000,"*",44.52,0.977309501338356
"20","chr1",10500001,11000000,500000,"*",51.14,0.992422041679848
"21","chr1",11000001,11500000,500000,"*",48.02,0.971549825758733
"22","chr1",11500001,12000000,500000,"*",51.99,0.988283415961127
"23","chr1",12000001,12500000,500000,"*",47.63,0.986511239180793
"24","chr1",14000001,14500000,500000,"*",43.14,0.985281858972442
"25","chr1",14500001,15000000,500000,"*",43.11,0.978559242849856
"26","chr1",15000001,15500000,500000,"*",49.49,0.991916146251798
"27","chr1",15500001,16000000,500000,"*",47.27,0.9825140842903
"28","chr1",16000001,16500000,500000,"*",51.31,0.976679316502755
"29","chr1",17500001,18000000,500000,"*",51.34,0.98873945264543
"30","chr1",18000001,18500000,500000,"*",49.45,0.9932005347523
"31","chr1",18500001,19000000,500000,"*",48.87,0.99412224585241
"32","chr1",19000001,19500000,500000,"*",49.69,0.995991073340312
"33","chr1",19500001,20000000,500000,"*",47.78,0.985471479310957
"34","chr1",20000001,20500000,500000,"*",46.25,0.985879170605007
"35","chr1",20500001,21000000,500000,"*",48.51,0.99250748305828
"36","chr1",21000001,21500000,500000,"*",41.55,0.972725016711428
"37","chr1",21500001,22000000,500000,"*",50.56,0.953570306802427
"38","chr1",22000001,22500000,500000,"*",48.99,0.967542376500826
"39","chr1",22500001,23000000,500000,"*",49.3,0.99607600524304
"40","chr1",23000001,23500000,500000,"*",47.37,0.990052065956975
"41","chr1",23500001,24000000,500000,"*",47.21,0.981566360457819
"42","chr1",24000001,24500000,500000,"*",47.33,0.966524731045998
"43","chr1",24500001,25000000,500000,"*",45.61,0.987301325963339
"44","chr1",25000001,25500000,500000,"*",48.27,0.97900230762244
"45","chr1",26000001,26500000,500000,"*",48.79,0.991468870107537
"46","chr1",26500001,27000000,500000,"*",48.61,0.974858381961486
"47","chr1",27000001,27500000,500000,"*",49.28,0.974480191199409
"48","chr1",27500001,28000000,500000,"*",49.83,0.980096981462951
"49","chr1",28000001,28500000,500000,"*",44.41,0.97582731723108
"50","chr1",28500001,29000000,500000,"*",46.06,0.974651517693503
"51","chr1",29000001,29500000,500000,"*",44.9,0.980894318783373
"52","chr1",29500001,30000000,500000,"*",37.11,0.981219573736679
"53","chr1",30000001,30500000,500000,"*",44.71,0.988334820832843
"54","chr1",30500001,31000000,500000,"*",48.16,0.968465048955059
"55","chr1",31000001,31500000,500000,"*",47.93,0.986158139878025
"56","chr1",31500001,32000000,500000,"*",46.01,0.982173946401985
"57","chr1",32000001,32500000,500000,"*",48.87,0.988734722570085
"58","chr1",32500001,33000000,500000,"*",47.55,0.977160840382843
"59","chr1",33000001,33500000,500000,"*",46.98,0.978120785025925
"60","chr1",33500001,34000000,500000,"*",46.56,0.976422914311261
"61","chr1",34000001,34500000,500000,"*",45.25,0.974943023210394
"62","chr1",34500001,35000000,500000,"*",43.95,0.971724515258715
"63","chr1",35000001,35500000,500000,"*",45.29,0.968403951227407
"64","chr1",35500001,36000000,500000,"*",41.33,0.973569906435964
"65","chr1",36000001,36500000,500000,"*",43.46,0.988452594038401
"66","chr1",36500001,37000000,500000,"*",48.63,0.983795976883664
"67","chr1",37000001,37500000,500000,"*",48.95,0.993117182879953
"68","chr1",37500001,38000000,500000,"*",47.1,0.974367069473421
"69","chr1",38000001,38500000,500000,"*",47.54,0.979294948222154
"70","chr1",38500001,39000000,500000,"*",45.75,0.988863235508693
"71","chr1",39000001,39500000,500000,"*",44.86,0.975733628109568
"72","chr1",39500001,40000000,500000,"*",43.95,0.967058271963593
"73","chr1",40000001,40500000,500000,"*",47.48,0.961792157282693
"74","chr1",40500001,41000000,500000,"*",42.42,0.973295160135678
"75","chr1",41000001,41500000,500000,"*",46.93,0.984790341432798
"76","chr1",41500001,42000000,500000,"*",45.96,0.972742040726997
