,Chromosome,Start_bin_no,End_bin_no
0,chr1,1,13
1,chr1,14,27
2,chr1,28,84
3,chr1,85,170
4,chr1,171,219
5,chr1,220,243
6,chr1,244,338
7,chr1,339,381
8,chr1,382,385
9,chr1,386,393
10,chr1,394,411
11,chr10,1,2
12,chr10,3,24
13,chr10,25,37
14,chr10,38,44
15,chr10,45,72
16,chr10,73,90
17,chr10,91,105
18,chr10,106,141
19,chr10,142,203
20,chr10,204,209
21,chr10,210,241
22,chr11,1,10
23,chr11,11,32
24,chr11,33,55
25,chr11,56,70
26,chr11,71,80
27,chr11,81,93
28,chr11,94,188
29,chr11,189,194
30,chr11,195,202
31,chr11,203,206
32,chr11,207,247
33,chr12,1,22
34,chr12,23,39
35,chr12,40,44
36,chr12,45,46
37,chr12,47,63
38,chr12,64,85
39,chr12,86,182
40,chr12,183,194
41,chr12,195,224
42,chr12,225,231
43,chr12,232,249
44,chr13,1,11
45,chr13,12,14
46,chr13,15,23
47,chr13,24,46
48,chr13,47,47
49,chr13,48,53
50,chr13,54,118
51,chr13,119,153
52,chr13,154,168
53,chr13,169,181
54,chr13,182,187
55,chr14,1,2
56,chr14,3,4
57,chr14,5,29
58,chr14,30,81
59,chr14,82,104
60,chr14,105,116
61,chr14,117,124
62,chr14,125,125
63,chr14,126,143
64,chr14,144,158
65,chr14,159,172
66,chr15,1,6
67,chr15,7,10
68,chr15,11,29
69,chr15,30,47
70,chr15,48,62
71,chr15,63,69
72,chr15,70,87
73,chr15,88,109
74,chr15,110,131
75,chr15,132,136
76,chr15,137,140
77,chr16,1,27
78,chr16,28,31
79,chr16,32,33
80,chr16,34,50
81,chr16,51,65
82,chr16,66,86
83,chr16,87,106
84,chr16,107,108
85,chr16,109,111
86,chr16,112,123
87,chr16,124,134
88,chr17,1,31
89,chr17,32,81
90,chr17,82,82
91,chr17,83,87
92,chr17,88,100
93,chr17,101,107
94,chr17,108,112
95,chr17,113,120
96,chr17,121,126
97,chr17,127,129
98,chr17,130,136
99,chr18,1,22
100,chr18,23,33
101,chr18,34,39
102,chr18,40,46
103,chr18,47,67
104,chr18,68,80
105,chr18,81,81
106,chr18,82,92
107,chr18,93,102
108,chr18,103,103
109,chr18,104,119
110,chr19,1,5
111,chr19,6,6
112,chr19,7,10
113,chr19,11,16
114,chr19,17,22
115,chr19,23,24
116,chr19,25,32
117,chr19,33,45
118,chr19,46,60
119,chr19,61,63
120,chr19,64,98
121,chr2,1,48
122,chr2,49,176
123,chr2,177,189
124,chr2,190,203
125,chr2,204,249
126,chr2,250,272
127,chr2,273,328
128,chr2,329,367
129,chr2,368,410
130,chr2,411,425
131,chr2,426,452
132,chr20,1,3
133,chr20,4,9
134,chr20,10,23
135,chr20,24,36
136,chr20,37,42
137,chr20,43,49
138,chr20,50,65
139,chr20,66,70
140,chr20,71,102
141,chr20,103,103
142,chr20,104,116
143,chr21,1,2
144,chr21,3,6
145,chr21,7,10
146,chr21,11,14
147,chr21,15,15
148,chr21,16,20
149,chr21,21,26
150,chr21,27,37
151,chr21,38,40
152,chr21,41,48
153,chr21,49,63
154,chr22,1,1
155,chr22,2,4
156,chr22,5,8
157,chr22,9,13
158,chr22,14,24
159,chr22,25,33
160,chr22,34,43
161,chr22,44,45
162,chr22,46,52
163,chr22,53,54
164,chr22,55,60
165,chr3,1,19
166,chr3,20,43
167,chr3,44,81
168,chr3,82,177
169,chr3,178,215
170,chr3,216,253
171,chr3,254,260
172,chr3,261,340
173,chr3,341,357
174,chr3,358,368
175,chr3,369,382
176,chr4,1,21
177,chr4,22,62
178,chr4,63,90
179,chr4,91,93
180,chr4,94,111
181,chr4,112,128
182,chr4,129,147
183,chr4,148,168
184,chr4,169,179
185,chr4,180,241
186,chr4,242,362
187,chr5,1,1
188,chr5,2,50
189,chr5,51,73
190,chr5,74,116
191,chr5,117,131
192,chr5,132,153
193,chr5,154,169
194,chr5,170,184
195,chr5,185,199
196,chr5,200,236
197,chr5,237,338
198,chr6,1,51
199,chr6,52,69
200,chr6,70,125
201,chr6,126,145
202,chr6,146,186
203,chr6,187,193
204,chr6,194,232
205,chr6,233,268
206,chr6,269,293
207,chr6,294,310
208,chr6,311,328
209,chr7,1,32
210,chr7,33,69
211,chr7,70,96
212,chr7,97,115
213,chr7,116,148
214,chr7,149,159
215,chr7,160,172
216,chr7,173,194
217,chr7,195,216
218,chr7,217,241
219,chr7,242,275
220,chr8,1,6
221,chr8,7,9
222,chr8,10,79
223,chr8,80,101
224,chr8,102,114
225,chr8,115,128
226,chr8,129,151
227,chr8,152,172
228,chr8,173,189
229,chr8,190,241
230,chr8,242,270
231,chr9,1,19
232,chr9,20,35
233,chr9,36,47
234,chr9,48,61
235,chr9,62,66
236,chr9,67,75
237,chr9,76,103
238,chr9,104,117
239,chr9,118,138
240,chr9,139,193
241,chr9,194,209
