,StartBin,EndBin
"('chr1',)",0.0,4.0
"('chr1',)",5.0,24.0
"('chr1',)",25.0,37.0
"('chr1',)",38.0,50.0
"('chr1',)",51.0,73.0
"('chr1',)",74.0,227.0
"('chr1',)",228.0,242.0
"('chr1',)",243.0,291.0
"('chr1',)",292.0,317.0
"('chr1',)",318.0,401.0
"('chr1',)",402.0,420.0
"('chr2',)",0.0,174.0
"('chr2',)",175.0,175.0
"('chr2',)",176.0,197.0
"('chr2',)",198.0,198.0
"('chr2',)",199.0,242.0
"('chr2',)",243.0,288.0
"('chr2',)",289.0,404.0
"('chr2',)",405.0,407.0
"('chr2',)",408.0,428.0
"('chr2',)",429.0,449.0
"('chr2',)",450.0,452.0
"('chr3',)",0.0,93.0
"('chr3',)",94.0,100.0
"('chr3',)",101.0,117.0
"('chr3',)",118.0,147.0
"('chr3',)",148.0,174.0
"('chr3',)",175.0,184.0
"('chr3',)",185.0,248.0
"('chr3',)",249.0,299.0
"('chr3',)",300.0,312.0
"('chr3',)",313.0,332.0
"('chr3',)",333.0,336.0
"('chr4',)",0.0,6.0
"('chr4',)",7.0,13.0
"('chr4',)",14.0,15.0
"('chr4',)",16.0,50.0
"('chr4',)",51.0,68.0
"('chr4',)",69.0,80.0
"('chr4',)",81.0,106.0
"('chr4',)",107.0,127.0
"('chr4',)",128.0,128.0
"('chr4',)",129.0,293.0
"('chr4',)",294.0,362.0
"('chr5',)",0.0,2.0
"('chr5',)",3.0,33.0
"('chr5',)",34.0,56.0
"('chr5',)",57.0,84.0
"('chr5',)",85.0,98.0
"('chr5',)",99.0,141.0
"('chr5',)",142.0,187.0
"('chr5',)",188.0,191.0
"('chr5',)",192.0,241.0
"('chr5',)",242.0,330.0
"('chr5',)",331.0,338.0
"('chr6',)",0.0,6.0
"('chr6',)",7.0,59.0
"('chr6',)",60.0,66.0
"('chr6',)",67.0,102.0
"('chr6',)",103.0,112.0
"('chr6',)",113.0,156.0
"('chr6',)",157.0,179.0
"('chr6',)",180.0,216.0
"('chr6',)",217.0,295.0
"('chr6',)",296.0,318.0
"('chr6',)",319.0,328.0
"('chr7',)",0.0,12.0
"('chr7',)",13.0,106.0
"('chr7',)",107.0,111.0
"('chr7',)",112.0,121.0
"('chr7',)",122.0,124.0
"('chr7',)",125.0,167.0
"('chr7',)",168.0,172.0
"('chr7',)",173.0,200.0
"('chr7',)",201.0,256.0
"('chr7',)",257.0,274.0
"('chr7',)",275.0,275.0
"('chr8',)",0.0,2.0
"('chr8',)",3.0,25.0
"('chr8',)",26.0,31.0
"('chr8',)",32.0,35.0
"('chr8',)",36.0,71.0
"('chr8',)",72.0,76.0
"('chr8',)",77.0,123.0
"('chr8',)",124.0,201.0
"('chr8',)",202.0,222.0
"('chr8',)",223.0,227.0
"('chr8',)",228.0,230.0
"('chr9',)",0.0,12.0
"('chr9',)",13.0,20.0
"('chr9',)",21.0,28.0
"('chr9',)",29.0,29.0
"('chr9',)",30.0,30.0
"('chr9',)",31.0,31.0
"('chr9',)",32.0,32.0
"('chr9',)",33.0,60.0
"('chr9',)",61.0,61.0
"('chr9',)",62.0,179.0
"('chr9',)",180.0,199.0
"('chr10',)",0.0,70.0
"('chr10',)",71.0,72.0
"('chr10',)",73.0,115.0
"('chr10',)",116.0,130.0
"('chr10',)",131.0,158.0
"('chr10',)",159.0,174.0
"('chr10',)",175.0,182.0
"('chr10',)",183.0,207.0
"('chr10',)",208.0,216.0
"('chr10',)",217.0,236.0
"('chr10',)",237.0,241.0
"('chr11',)",0.0,3.0
"('chr11',)",4.0,24.0
"('chr11',)",25.0,87.0
"('chr11',)",88.0,92.0
"('chr11',)",93.0,94.0
"('chr11',)",95.0,104.0
"('chr11',)",105.0,125.0
"('chr11',)",126.0,135.0
"('chr11',)",136.0,145.0
"('chr11',)",146.0,195.0
"('chr11',)",196.0,248.0
"('chr12',)",0.0,62.0
"('chr12',)",63.0,63.0
"('chr12',)",64.0,85.0
"('chr12',)",86.0,103.0
"('chr12',)",104.0,194.0
"('chr12',)",195.0,203.0
"('chr12',)",204.0,211.0
"('chr12',)",212.0,226.0
"('chr12',)",227.0,236.0
"('chr12',)",237.0,248.0
"('chr12',)",249.0,252.0
"('chr13',)",0.0,0.0
"('chr13',)",1.0,8.0
"('chr13',)",9.0,11.0
"('chr13',)",12.0,66.0
"('chr13',)",67.0,102.0
"('chr13',)",103.0,120.0
"('chr13',)",121.0,142.0
"('chr13',)",143.0,144.0
"('chr13',)",145.0,179.0
"('chr13',)",180.0,185.0
"('chr13',)",186.0,187.0
"('chr14',)",0.0,8.0
"('chr14',)",9.0,60.0
"('chr14',)",61.0,105.0
"('chr14',)",106.0,108.0
"('chr14',)",109.0,115.0
"('chr14',)",116.0,139.0
"('chr14',)",140.0,147.0
"('chr14',)",148.0,157.0
"('chr14',)",158.0,163.0
"('chr14',)",164.0,168.0
"('chr14',)",169.0,172.0
"('chr15',)",0.0,0.0
"('chr15',)",1.0,8.0
"('chr15',)",9.0,10.0
"('chr15',)",11.0,24.0
"('chr15',)",25.0,33.0
"('chr15',)",34.0,68.0
"('chr15',)",69.0,89.0
"('chr15',)",90.0,99.0
"('chr15',)",100.0,115.0
"('chr15',)",116.0,119.0
"('chr15',)",120.0,140.0
"('chr16',)",0.0,3.0
"('chr16',)",4.0,8.0
"('chr16',)",9.0,14.0
"('chr16',)",15.0,44.0
"('chr16',)",45.0,48.0
"('chr16',)",49.0,88.0
"('chr16',)",89.0,95.0
"('chr16',)",96.0,97.0
"('chr16',)",98.0,121.0
"('chr16',)",122.0,128.0
"('chr16',)",129.0,132.0
"('chr17',)",0.0,3.0
"('chr17',)",4.0,15.0
"('chr17',)",16.0,29.0
"('chr17',)",30.0,44.0
"('chr17',)",45.0,52.0
"('chr17',)",53.0,75.0
