"","seqnames","start","end","width","strand","gc","mapp"
"1","chr1",2000001,2500000,500000,"*",59.45,0.980288665636679
"2","chr1",3000001,3500000,500000,"*",58.46,0.988965548195606
"3","chr1",4000001,4500000,500000,"*",48.26,0.976331851432656
"4","chr1",4500001,5000000,500000,"*",48.18,0.987193070951074
"5","chr1",5000001,5500000,500000,"*",44.74,0.980949361271643
"6","chr1",5500001,6000000,500000,"*",49.11,0.984808637847353
"7","chr1",6000001,6500000,500000,"*",54.51,0.983107658544419
"8","chr1",6500001,7000000,500000,"*",49,0.983616561180811
"9","chr1",7000001,7500000,500000,"*",47.07,0.980420301235668
"10","chr1",7500001,8000000,500000,"*",48.82,0.98387271540495
"11","chr1",8000001,8500000,500000,"*",46.27,0.984986252703429
"12","chr1",8500001,9000000,500000,"*",42.6,0.976265796531874
"13","chr1",9000001,9500000,500000,"*",50.67,0.988605724113198
"14","chr1",9500001,10000000,500000,"*",49.72,0.980819623655914
"15","chr1",10000001,10500000,500000,"*",44.52,0.977309501338356
"16","chr1",10500001,11000000,500000,"*",51.14,0.992422041679848
"17","chr1",11000001,11500000,500000,"*",48.02,0.971549825758733
"18","chr1",11500001,12000000,500000,"*",51.99,0.988283415961127
"19","chr1",12000001,12500000,500000,"*",47.63,0.986511239180793
"20","chr1",14000001,14500000,500000,"*",43.14,0.985281858972442
"21","chr1",14500001,15000000,500000,"*",43.11,0.978559242849856
"22","chr1",15000001,15500000,500000,"*",49.49,0.991916146251798
"23","chr1",15500001,16000000,500000,"*",47.27,0.9825140842903
"24","chr1",17500001,18000000,500000,"*",51.34,0.98873945264543
"25","chr1",18000001,18500000,500000,"*",49.45,0.9932005347523
"26","chr1",18500001,19000000,500000,"*",48.87,0.99412224585241
"27","chr1",19000001,19500000,500000,"*",49.69,0.995991073340312
"28","chr1",19500001,20000000,500000,"*",47.78,0.985471479310957
"29","chr1",20000001,20500000,500000,"*",46.25,0.985879170605007
"30","chr1",20500001,21000000,500000,"*",48.51,0.99250748305828
"31","chr1",21000001,21500000,500000,"*",41.55,0.972725016711428
"32","chr1",22500001,23000000,500000,"*",49.3,0.99607600524304
"33","chr1",23000001,23500000,500000,"*",47.37,0.990052065956975
"34","chr1",23500001,24000000,500000,"*",47.21,0.981566360457819
"35","chr1",24500001,25000000,500000,"*",45.61,0.987301325963339
"36","chr1",25000001,25500000,500000,"*",48.27,0.97900230762244
"37","chr1",26000001,26500000,500000,"*",48.79,0.991468870107537
"38","chr1",26500001,27000000,500000,"*",48.61,0.974858381961486
