"","seqnames","start","end","width","strand","gc","mapp"
"1","chr1",1500001,2000000,500000,"*",53.95,0.919810984287768
"2","chr1",2000001,2500000,500000,"*",59.45,0.980288665636679
"3","chr1",2500001,3000000,500000,"*",51.18,0.916839813059505
"4","chr1",3000001,3500000,500000,"*",58.46,0.988965548195606
"5","chr1",4000001,4500000,500000,"*",48.26,0.976331851432656
"6","chr1",4500001,5000000,500000,"*",48.18,0.987193070951074
"7","chr1",5000001,5500000,500000,"*",44.74,0.980949361271643
"8","chr1",5500001,6000000,500000,"*",49.11,0.984808637847353
"9","chr1",6000001,6500000,500000,"*",54.51,0.983107658544419
"10","chr1",6500001,7000000,500000,"*",49,0.983616561180811
"11","chr1",7000001,7500000,500000,"*",47.07,0.980420301235668
"12","chr1",7500001,8000000,500000,"*",48.82,0.98387271540495
"13","chr1",8000001,8500000,500000,"*",46.27,0.984986252703429
"14","chr1",8500001,9000000,500000,"*",42.6,0.976265796531874
"15","chr1",9000001,9500000,500000,"*",50.67,0.988605724113198
"16","chr1",9500001,10000000,500000,"*",49.72,0.980819623655914
"17","chr1",10000001,10500000,500000,"*",44.52,0.977309501338356
"18","chr1",10500001,11000000,500000,"*",51.14,0.992422041679848
"19","chr1",11000001,11500000,500000,"*",48.02,0.971549825758733
"20","chr1",11500001,12000000,500000,"*",51.99,0.988283415961127
"21","chr1",12000001,12500000,500000,"*",47.63,0.986511239180793
"22","chr1",14000001,14500000,500000,"*",43.14,0.985281858972442
"23","chr1",14500001,15000000,500000,"*",43.11,0.978559242849856
"24","chr1",15000001,15500000,500000,"*",49.49,0.991916146251798
"25","chr1",15500001,16000000,500000,"*",47.27,0.9825140842903
"26","chr1",16000001,16500000,500000,"*",51.31,0.976679316502755
"27","chr1",17500001,18000000,500000,"*",51.34,0.98873945264543
"28","chr1",18000001,18500000,500000,"*",49.45,0.9932005347523
"29","chr1",18500001,19000000,500000,"*",48.87,0.99412224585241
"30","chr1",19000001,19500000,500000,"*",49.69,0.995991073340312
"31","chr1",19500001,20000000,500000,"*",47.78,0.985471479310957
"32","chr1",20000001,20500000,500000,"*",46.25,0.985879170605007
"33","chr1",20500001,21000000,500000,"*",48.51,0.99250748305828
"34","chr1",21000001,21500000,500000,"*",41.55,0.972725016711428
"35","chr1",21500001,22000000,500000,"*",50.56,0.953570306802427
"36","chr1",22000001,22500000,500000,"*",48.99,0.967542376500826
"37","chr1",22500001,23000000,500000,"*",49.3,0.99607600524304
"38","chr1",23000001,23500000,500000,"*",47.37,0.990052065956975
"39","chr1",23500001,24000000,500000,"*",47.21,0.981566360457819
"40","chr1",24500001,25000000,500000,"*",45.61,0.987301325963339
"41","chr1",25000001,25500000,500000,"*",48.27,0.97900230762244
"42","chr1",26000001,26500000,500000,"*",48.79,0.991468870107537
"43","chr1",26500001,27000000,500000,"*",48.61,0.974858381961486
"44","chr1",27000001,27500000,500000,"*",49.28,0.974480191199409
"45","chr1",27500001,28000000,500000,"*",49.83,0.980096981462951
"46","chr1",28000001,28500000,500000,"*",44.41,0.97582731723108
"47","chr1",28500001,29000000,500000,"*",46.06,0.974651517693503
"48","chr1",29000001,29500000,500000,"*",44.9,0.980894318783373
"49","chr1",30000001,30500000,500000,"*",44.71,0.988334820832843
"50","chr1",30500001,31000000,500000,"*",48.16,0.968465048955059
"51","chr1",31000001,31500000,500000,"*",47.93,0.986158139878025
"52","chr1",31500001,32000000,500000,"*",46.01,0.982173946401985
"53","chr1",32000001,32500000,500000,"*",48.87,0.988734722570085
"54","chr1",32500001,33000000,500000,"*",47.55,0.977160840382843
"55","chr1",33000001,33500000,500000,"*",46.98,0.978120785025925
"56","chr1",33500001,34000000,500000,"*",46.56,0.976422914311261
"57","chr1",34000001,34500000,500000,"*",45.25,0.974943023210394
"58","chr1",34500001,35000000,500000,"*",43.95,0.971724515258715
"59","chr1",35000001,35500000,500000,"*",45.29,0.968403951227407
"60","chr1",35500001,36000000,500000,"*",41.33,0.973569906435964
"61","chr1",36000001,36500000,500000,"*",43.46,0.988452594038401
"62","chr1",36500001,37000000,500000,"*",48.63,0.983795976883664
"63","chr1",37000001,37500000,500000,"*",48.95,0.993117182879953
"64","chr1",37500001,38000000,500000,"*",47.1,0.974367069473421
"65","chr1",38000001,38500000,500000,"*",47.54,0.979294948222154
"66","chr1",38500001,39000000,500000,"*",45.75,0.988863235508693
"67","chr1",39000001,39500000,500000,"*",44.86,0.975733628109568
"68","chr1",39500001,40000000,500000,"*",43.95,0.967058271963593
"69","chr1",40000001,40500000,500000,"*",47.48,0.961792157282693
"70","chr1",40500001,41000000,500000,"*",42.42,0.973295160135678
"71","chr1",41000001,41500000,500000,"*",46.93,0.984790341432798
"72","chr1",41500001,42000000,500000,"*",45.96,0.972742040726997
"73","chr1",42000001,42500000,500000,"*",45.87,0.980099595937988
"74","chr1",42500001,43000000,500000,"*",41.02,0.971649039634685
"75","chr1",43000001,43500000,500000,"*",44.41,0.984927654718006
"76","chr1",43500001,44000000,500000,"*",46.56,0.969427803634985
"77","chr1",44000001,44500000,500000,"*",48.97,0.992595769611185
"78","chr1",44500001,45000000,500000,"*",44.9,0.991066696914162
"79","chr1",45000001,45500000,500000,"*",47.63,0.980329460225296
"80","chr1",45500001,46000000,500000,"*",42.69,0.944881911642677
"81","chr1",46000001,46500000,500000,"*",42.51,0.965355194692225
"82","chr1",46500001,47000000,500000,"*",47.76,0.97530951847031
"83","chr1",47000001,47500000,500000,"*",43.26,0.91180124921472
"84","chr1",47500001,48000000,500000,"*",44.44,0.926627268141073
"85","chr1",48000001,48500000,500000,"*",47.84,0.988313780982617
"86","chr1",48500001,49000000,500000,"*",40.63,0.929318149703538
"87","chr1",49000001,49500000,500000,"*",42.16,0.984903615882925
"88","chr1",49500001,50000000,500000,"*",37.84,0.952515189144122
"89","chr1",50000001,50500000,500000,"*",37.15,0.933170007922874
"90","chr1",50500001,51000000,500000,"*",41.83,0.988614366742385
"91","chr1",51000001,51500000,500000,"*",38.3,0.967486091824571
"92","chr1",51500001,52000000,500000,"*",41.23,0.977690628852307
"93","chr1",52000001,52500000,500000,"*",41.39,0.983881935586418
"94","chr1",52500001,53000000,500000,"*",41.31,0.973104163812932
"95","chr1",53000001,53500000,500000,"*",43.14,0.974625976890404
"96","chr1",53500001,54000000,500000,"*",49.2,0.987693821607253
"97","chr1",54000001,54500000,500000,"*",45.93,0.990337754065799
"98","chr1",54500001,55000000,500000,"*",48.79,0.981719083617921
"99","chr1",55000001,55500000,500000,"*",48.35,0.970828550907613
"100","chr1",55500001,56000000,500000,"*",41.86,0.980676223188954
"101","chr1",56000001,56500000,500000,"*",39.92,0.982584537090359
"102","chr1",56500001,57000000,500000,"*",40.81,0.974804189135817
"103","chr1",57000001,57500000,500000,"*",40.29,0.988143269462544
"104","chr1",57500001,58000000,500000,"*",40.59,0.990905317392531
"105","chr1",58000001,58500000,500000,"*",40.45,0.983609993756219
"106","chr1",58500001,59000000,500000,"*",41.4,0.943200433185873
"107","chr1",59000001,59500000,500000,"*",42.24,0.978492700496715
"108","chr1",59500001,60000000,500000,"*",40.75,0.965632233160426
"109","chr1",60000001,60500000,500000,"*",39.5,0.953516445324147
"110","chr1",60500001,61000000,500000,"*",37.48,0.951012328037529
"111","chr1",61000001,61500000,500000,"*",39.95,0.969212612809144
"112","chr1",61500001,62000000,500000,"*",39.56,0.995534331816995
"113","chr1",62000001,62500000,500000,"*",40.23,0.97608320487205
"114","chr1",62500001,63000000,500000,"*",43.03,0.984213533586015
"115","chr1",63000001,63500000,500000,"*",38.53,0.971879382338268
"116","chr1",63500001,64000000,500000,"*",39.29,0.97492068550041
"117","chr1",64000001,64500000,500000,"*",41.29,0.991206684917211
"118","chr1",64500001,65000000,500000,"*",40.82,0.962814002218
"119","chr1",65000001,65500000,500000,"*",40.55,0.988259986764841
"120","chr1",65500001,66000000,500000,"*",40.99,0.972533217685329
"121","chr1",66000001,66500000,500000,"*",37.14,0.945254845593299
"122","chr1",66500001,67000000,500000,"*",38.38,0.95896195701849
"123","chr1",67000001,67500000,500000,"*",37.24,0.977064044050928
"124","chr1",67500001,68000000,500000,"*",40.68,0.968062896210899
"125","chr1",68000001,68500000,500000,"*",41.2,0.98449590900636
"126","chr1",68500001,69000000,500000,"*",39.69,0.981271597382549
"127","chr1",69000001,69500000,500000,"*",37.33,0.947698807499599
"128","chr1",69500001,70000000,500000,"*",36.92,0.964024708225991
"129","chr1",70000001,70500000,500000,"*",35.39,0.955770646085166
"130","chr1",70500001,71000000,500000,"*",37.69,0.986459998450746
"131","chr1",71000001,71500000,500000,"*",37.71,0.966294563705088
"132","chr1",71500001,72000000,500000,"*",36.81,0.959086617911411
"133","chr1",72000001,72500000,500000,"*",35.36,0.980625111856823
"134","chr1",72500001,73000000,500000,"*",34.45,0.987594448329532
"135","chr1",73000001,73500000,500000,"*",35.04,0.967937873285542
"136","chr1",73500001,74000000,500000,"*",34.9,0.974291324218704
"137","chr1",74000001,74500000,500000,"*",35.7,0.992475272980821
"138","chr1",74500001,75000000,500000,"*",35.66,0.959673265920299
"139","chr1",75000001,75500000,500000,"*",37.18,0.962834523013689
"140","chr1",75500001,76000000,500000,"*",37.41,0.947150771152588
"141","chr1",76000001,76500000,500000,"*",38.05,0.950434111706068
"142","chr1",76500001,77000000,500000,"*",38.96,0.981805662119708
"143","chr1",77000001,77500000,500000,"*",38.69,0.963768052103663
"144","chr1",77500001,78000000,500000,"*",38.3,0.981095171489152
"145","chr1",78000001,78500000,500000,"*",38.82,0.977818587701123
"146","chr1",78500001,79000000,500000,"*",38.47,0.96168800177173
"147","chr1",79000001,79500000,500000,"*",36.02,0.971458741178231
"148","chr1",79500001,80000000,500000,"*",35.69,0.970029835392175
"149","chr1",80000001,80500000,500000,"*",35.56,0.964254094514172
"150","chr1",80500001,81000000,500000,"*",35.12,0.961691045160119
"151","chr1",81000001,81500000,500000,"*",35.12,0.964741720517601
"152","chr1",81500001,82000000,500000,"*",36.88,0.984990825369997
"153","chr1",82000001,82500000,500000,"*",36.5,0.992865818150358
"154","chr1",82500001,83000000,500000,"*",37.1,0.967685372580474
"155","chr1",83000001,83500000,500000,"*",36.1,0.985554687319431
"156","chr1",84000001,84500000,500000,"*",38.13,0.982569765004086
"157","chr1",84500001,85000000,500000,"*",37.45,0.970648116587949
"158","chr1",85000001,85500000,500000,"*",40.4,0.994856130400066
"159","chr1",85500001,86000000,500000,"*",39.51,0.978247136160289
"160","chr1",86000001,86500000,500000,"*",37.71,0.935882750525558
"161","chr1",86500001,87000000,500000,"*",37.81,0.958529916673171
"162","chr1",87000001,87500000,500000,"*",38.55,0.946727783318232
"163","chr1",87500001,88000000,500000,"*",40.39,0.985131186876162
"164","chr1",88000001,88500000,500000,"*",38.07,0.991394545645973
"165","chr1",88500001,89000000,500000,"*",37.36,0.982299138734739
"166","chr1",89000001,89500000,500000,"*",38.3,0.982509291301212
"167","chr1",89500001,90000000,500000,"*",39.06,0.936768920427681
"168","chr1",90000001,90500000,500000,"*",40.09,0.970961815657155
"169","chr1",90500001,91000000,500000,"*",38.39,0.962059479849784
"170","chr1",91000001,91500000,500000,"*",38.99,0.979437287263831
"171","chr1",91500001,92000000,500000,"*",39.51,0.931301848404334
"172","chr1",92000001,92500000,500000,"*",42.2,0.984271774110733
"173","chr1",92500001,93000000,500000,"*",39.42,0.964209881678924
"174","chr1",93000001,93500000,500000,"*",39.32,0.956948624367774
"175","chr1",93500001,94000000,500000,"*",38.45,0.962359041393916
"176","chr1",94000001,94500000,500000,"*",43.2,0.964592201803017
"177","chr1",94500001,95000000,500000,"*",40.42,0.967743713642281
"178","chr1",95000001,95500000,500000,"*",42.53,0.985630164729585
"179","chr1",95500001,96000000,500000,"*",39.21,0.97165910910229
"180","chr1",96000001,96500000,500000,"*",36.98,0.993948012902756
"181","chr1",96500001,97000000,500000,"*",37.42,0.950635269785221
"182","chr1",97000001,97500000,500000,"*",37.36,0.961892741215741
"183","chr1",97500001,98000000,500000,"*",35.92,0.966736463766862
"184","chr1",98000001,98500000,500000,"*",34.32,0.98941227170881
